shim      C:\Users\Vatto\Magic Rules Engine\studies\skill_headtohead\pinned\simlab-forge-shim.jar (sha256 c50a9cc2c51d4634)
forge     C:\Users\Vatto\forge\forge-gui-desktop-2.0.13-jar-with-dependencies.jar
cohort    8 decks x 4 rotations x 3 chunks = 96 cells of 8 games
          768 games total, clock 1260s
already done 0, to run 96
estimate  77.4 h serial / 4.8 h at 16 workers, at a measured-floor 363 s/game
plans     Planeswalker Party -> ['Planeswalker Party [CMM] [2023]']
plans     Tricky Terrain -> ['Tricky Terrain [M3C] [2024]']
plans     Explorers of the Deep -> ['Explorers of the Deep [LCC] [2023]']
plans     Doom Prevails -> ['Doom Prevails [MSC] [2026]']
plans     Blight Curse -> ['Blight Curse [ECC] [2026]']
plans     Mutant Menace -> ['Mutant Menace [PIP] [2024]']
plans     Grand Larceny -> ['Grand Larceny [OTC] [2024]']
plans     Deadly Disguise -> ['Deadly Disguise [MKC] [2024]']
[65/96] Mutant Menace rot3 c2 (D/A/B/C)  8g in 26.5m, censored 0, wins {'A': 3, 'B': 1, 'C': 3, 'D': 1}  [1.65 games/min]
[66/96] Mutant Menace rot1 c2 (B/C/D/A)  8g in 50.2m, censored 0, wins {'A': 1, 'B': 3, 'C': 2, 'D': 2}  [1.68 games/min]
[67/96] Blight Curse rot3 c0 (D/A/B/C)  8g in 80.6m, censored 3, wins {'A': 2, 'B': 0, 'C': 2, 'D': 1}  [1.66 games/min]
[68/96] Blight Curse rot2 c2 (C/D/A/B)  8g in 82.1m, censored 2, wins {'A': 0, 'B': 0, 'C': 2, 'D': 4}  [1.68 games/min]
[69/96] Mutant Menace rot2 c2 (C/D/A/B)  8g in 49.1m, censored 0, wins {'A': 2, 'B': 3, 'C': 1, 'D': 2}  [1.65 games/min]
[70/96] Mutant Menace rot3 c0 (D/A/B/C)  8g in 51.1m, censored 0, wins {'A': 3, 'B': 4, 'C': 1, 'D': 0}  [1.66 games/min]
[71/96] Mutant Menace rot3 c1 (D/A/B/C)  8g in 59.6m, censored 1, wins {'A': 1, 'B': 1, 'C': 4, 'D': 1}  [1.64 games/min]
[72/96] Mutant Menace rot2 c1 (C/D/A/B)  8g in 72.4m, censored 1, wins {'A': 3, 'B': 2, 'C': 2, 'D': 0}  [1.62 games/min]
[73/96] Grand Larceny rot0 c0 (A/B/C/D)  8g in 90.2m, censored 1, wins {'A': 2, 'B': 1, 'C': 0, 'D': 4}  [1.52 games/min]
[74/96] Grand Larceny rot3 c2 (D/A/B/C)  8g in 67.3m, censored 0, wins {'A': 3, 'B': 0, 'C': 3, 'D': 2}  [1.51 games/min]
[75/96] Grand Larceny rot3 c0 (D/A/B/C)  8g in 83.0m, censored 1, wins {'A': 3, 'B': 0, 'C': 2, 'D': 2}  [1.51 games/min]
[76/96] Grand Larceny rot1 c0 (B/C/D/A)  8g in 98.1m, censored 1, wins {'A': 2, 'B': 2, 'C': 3, 'D': 0}  [1.50 games/min]
[77/96] Grand Larceny rot1 c2 (B/C/D/A)  8g in 98.5m, censored 2, wins {'A': 2, 'B': 2, 'C': 1, 'D': 1}  [1.52 games/min]
[78/96] Grand Larceny rot0 c1 (A/B/C/D)  8g in 115.1m, censored 1, wins {'A': 1, 'B': 1, 'C': 2, 'D': 3}  [1.52 games/min]
[79/96] Grand Larceny rot0 c2 (A/B/C/D)  8g in 110.4m, censored 1, wins {'A': 1, 'B': 0, 'C': 2, 'D': 4}  [1.53 games/min]
[80/96] Grand Larceny rot2 c1 (C/D/A/B)  8g in 102.9m, censored 2, wins {'A': 3, 'B': 1, 'C': 2, 'D': 0}  [1.54 games/min]
[81/96] Grand Larceny rot1 c1 (B/C/D/A)  8g in 109.7m, censored 3, wins {'A': 2, 'B': 0, 'C': 3, 'D': 0}  [1.55 games/min]
[82/96] Deadly Disguise rot0 c2 (A/B/C/D)  8g in 70.5m, censored 1, wins {'A': 2, 'B': 1, 'C': 1, 'D': 3}  [1.57 games/min]
[83/96] Deadly Disguise rot0 c0 (A/B/C/D)  8g in 88.2m, censored 2, wins {'A': 3, 'B': 1, 'C': 1, 'D': 1}  [1.57 games/min]
[84/96] Grand Larceny rot2 c0 (C/D/A/B)  8g in 111.2m, censored 3, wins {'A': 0, 'B': 3, 'C': 1, 'D': 1}  [1.59 games/min]
[85/96] Deadly Disguise rot0 c1 (A/B/C/D)  8g in 98.8m, censored 3, wins {'A': 2, 'B': 1, 'C': 0, 'D': 2}  [1.56 games/min]
[86/96] Deadly Disguise rot1 c0 (B/C/D/A)  8g in 81.7m, censored 1, wins {'A': 1, 'B': 1, 'C': 3, 'D': 2}  [1.57 games/min]
[87/96] Grand Larceny rot2 c2 (C/D/A/B)  8g in 124.5m, censored 3, wins {'A': 1, 'B': 0, 'C': 2, 'D': 2}  [1.59 games/min]
[88/96] Grand Larceny rot3 c1 (D/A/B/C)  8g in 120.6m, censored 1, wins {'A': 0, 'B': 4, 'C': 2, 'D': 1}  [1.59 games/min]
[89/96] Deadly Disguise rot1 c1 (B/C/D/A)  8g in 65.6m, censored 0, wins {'A': 1, 'B': 2, 'C': 0, 'D': 5}  [1.58 games/min]
[90/96] Deadly Disguise rot3 c1 (D/A/B/C)  8g in 37.5m, censored 0, wins {'A': 2, 'B': 4, 'C': 0, 'D': 2}  [1.60 games/min]
[91/96] Deadly Disguise rot1 c2 (B/C/D/A)  8g in 63.0m, censored 1, wins {'A': 1, 'B': 3, 'C': 1, 'D': 2}  [1.60 games/min]
[92/96] Deadly Disguise rot2 c2 (C/D/A/B)  8g in 52.5m, censored 0, wins {'A': 5, 'B': 1, 'C': 2, 'D': 0}  [1.60 games/min]
[93/96] Deadly Disguise rot3 c0 (D/A/B/C)  8g in 55.6m, censored 0, wins {'A': 2, 'B': 1, 'C': 4, 'D': 1}  [1.59 games/min]
[94/96] Deadly Disguise rot3 c2 (D/A/B/C)  8g in 54.2m, censored 0, wins {'A': 3, 'B': 0, 'C': 3, 'D': 2}  [1.60 games/min]
[95/96] Deadly Disguise rot2 c1 (C/D/A/B)  8g in 64.8m, censored 1, wins {'A': 2, 'B': 2, 'C': 2, 'D': 1}  [1.62 games/min]
[96/96] Deadly Disguise rot2 c0 (C/D/A/B)  8g in 79.8m, censored 2, wins {'A': 0, 'B': 2, 'C': 2, 'D': 2}  [1.61 games/min]

done in 477.1 min (1.61 games/min)
results: C:\Users\Vatto\Magic Rules Engine\studies\skill_headtohead\runs\results.jsonl
